Nicomedes,"Victory-scheme",m
Nicon,"Conquest victory",m
Nicostratus,"Victory-army",m
Nicé,"Victory",f
Nidia,"Nest",f
Nigella,"Champion",f
Nigellus,"Champion",m
Nox,"Night",f
Oceanus,"Ocean",m
Octavius,"Eighth",m
Ocyrhoe,"Fast-flowing",f
Odoacer,"Watchful of wealth",m
Oedipus,"He who knew the Sphinx's riddle",m
Oenone,"Wine",f
Ofelia,"Help",f
Olympus,"Home of the gods",m
Onesiphorus,"Bringer of profit",m
Ops,"Plenty",f
Oriana,"Golden",f
Orlandus,"Famous land",m
Osvaldus,"Divine power",m
Palinurus,"Contrary wind",m
Pancratius,"All power",m
Pantaleon,"All-merciful",m
Pantera,"All-hunter",m
Paramonus,"Constant, enduring",m
Paschalis,"Passover",m
Patricia,"Patrician; of noble birth",f
Patricius,"Patrician; of noble birth",m
Patroclus,"Glory of the father",m
Paulus,"Small",m
Pax,"Peace",f
Pelagius,"Of the sea",m
Penelope,"Weaver of cunning",f
Peregrinus,"Wanderer",m
Pericles,"Surrounded by glory",m
Pero,"Disabled, lame",f
Petrina,"Rock, stone",f
Petronilla,"Little rock",f
Petrus,"Rock, stone",m
Phaedrus,"Bright",m
Phanes,"Bring to light; to make appear",m
Philandrus,"With love for people",m
Philetus,"Beloved",m
Philocrates,"Friend of power",m
Philomelus,"Friend of ease",m
Philomenus,"Friend of ease",m
Philotheus,"Friend of God",m
Phocas,"Seal",m
Phoebe,"Shining one",f
Phoebus,"Shining one",m
Phoenix,"Crimson",m
Pholus,"Of the cave",m
Phorcys,"Of the sea",m
Photius,"Light",m
Pia,"Pious",f
Pius,"Pious",m
Plato,"Broad flat; plateau",m
Plutarch,"Source of wealth",m
Pluto,"Wealth",m
Pollux,"Very sweet",m
Polydorus,"Bears many gifts",m
Polyhymnia,"Very musical",f
Polyxena,"Very foreign",f
Pomona,"Fruit tree",f
Pompeia,"Solemnity",f
Pompeius,"Display solemn procession",m
Pontius,"Of the sea; seaman",m
Pontus,"Sea",m
Porphyrius,"Purple",m
Premislaus,"Cunning",m
Primitivus,"First-formed",m
Primus,"First",m
Priscus,"Ancient",m
Procris,"Dew",f
Prometheus,"Forethought",m
Proteus,"Of the first",m
Prudentia,"Cautious",f
Prudentius,"Cautious",m
Ptolemaeus,"Warlike",m
Publius,"Public",m
Pythius,"To rot",m
Pæon,"Healer",m
Quintina,"Fifth",f
Quique,"Men together",m
Quirina,"Men together",f
Rabanus,"Raven",m
Raguel,"Friend of God",m
Rannulfus,"Plundering wolf",m
Rasmus,"Beloved",m
Regina,"Queen",f
Reginaldus,"Wise ruler",m
Regula,"Rule",f
Regulus,"Ruler",m
Remigius,"Oarsman",m
Remus,"Oar",m
Renae,"Reborn",f
Renata,"Reborn",f
Renatus,"Reborn",m
Rica,"Peaceful ruler",f
Ricardus,"Powerful ruler",m
Rina,"Of the sea",f
Riothamus,"Highest leader",m
Roberta,"Bright fame",f
Rohesia,"Horse",f
Rollo,"Famous wolf",m
Romanus,"Roman",m
Romulus,"From Rome",m
Rosalia,"Rose",f
Rosalind,"Lovely rose",f
Rudolphus,"Famous wolf",m
Rufus,"Red-haired",m
Sabrina,"Thorny cactus",f
Salomon,"Peaceable",m
Salvator,"Savior",m
Samara,"Seed of the elm tree",f
Sanctius,"Holy",m
Sandalius,"True wolf",m
Saturn,"To sow",m
Saturnina,"To sow",f
Scylla,"Tear and rend",f
Scævola,"Left-handed",m
Secundinus,"Second",m
Secundus,"Second",m
Seema,"Sprout",f
Selena,"Moon",f
Seleucus,"To be bright or white",m
Seneca,"Old",m
Septima,"Seventh",f
Septimus,"Seventh",m
Sera,"Burning one",f
Seraphina,"Burning one",f
Seraphinus,"Burning one",m
Serena,"Serene, tranquil",f
Sergius,"Sergeant",m
Servius,"To preserve",m
Severina,"Stern",f
Sextilius,"Sixth",m
Sibilla,"Prophetess",f
Sidonius,"Of Sidon",m
Sidony,"Of Sidon",f
Silvanus,"From the forest",m
Silvius,"Forest, or wood",m
Socrates,"Whole power",m
Sollemnia,"Religious",f
Sophronius,"Self-controlled",m
Sophus,"Clever, skilled",m
Sostratus,"Safe army",m
Spartacus,"From Sparta",m
Sperantia,"Hope",f
Spurius,"Of illegitimate birth",m
Stanislas,"Glorious government",m
Stasius,"Resurrection",m
Stephania,"Crown",f
Stephanus,"Crown",m
